plate,mjd,fiberid,z,zErr,zWarning,class,bestObjID,objType,run,rerun,camCol,field,obj,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z,petroMag_u,petroMag_g,petroMag_r,petroMag_i,petroMag_z
1903,53357,49,-9.698172E-4,4.605123E-5,0,STAR,1237663783122108615,NONLEGACY,4263,301,2,92,199,20.764503,19.723505,19.397421,19.227755,19.148113,20.73152,19.779234,19.455273,19.297142,19.240454
3142,54735,406,-2.25068E-4,8.482338E-6,0,STAR,1237663278461813000,NONLEGACY,4145,301,6,67,264,19.642962,18.325895,17.782253,17.575182,17.473768,19.740282,18.365067,17.837099,17.625324,17.544519
1487,52964,26,-1.009941E-4,1.437319E-5,0,STAR,1237657190366838920,NONLEGACY,2728,301,2,390,136,22.726805,19.851526,18.658037,18.142679,17.88694,22.383089,19.927982,18.708231,18.212626,17.926916
1902,53271,572,5.209208E-5,9.208917E-6,0,STAR,1237657191977451622,NONLEGACY,2728,301,5,390,102,21.153566,18.929102,17.955902,17.604765,17.398746,21.030058,18.977131,18.000933,17.648647,17.463886
1488,52965,387,2.938002E-5,1.037973E-5,0,STAR,1237663277926252781,NONLEGACY,4145,301,5,87,237,21.698305,19.258091,18.084013,17.621937,17.421326,22.242371,19.331026,18.155767,17.713802,17.486488
1902,53271,558,-4.641607E-6,9.590407E-6,0,STAR,1237666408440987800,NONLEGACY,4874,301,4,399,152,20.6807,18.123672,16.676857,15.938919,15.530804,20.869947,18.183355,16.747009,16.003342,15.591241
683,52524,203,0.42338,1.20244E-4,0,GALAXY,1237663275778638339,NONLEGACY,4145,301,1,85,515,23.191645,21.894281,20.315044,19.598745,19.067453,22.112455,21.120235,19.523905,18.79892,18.430235
1093,52591,625,-6.759618E-5,4.472044E-5,0,STAR,1237663277926252783,NONLEGACY,4145,301,5,87,239,19.456465,18.634851,18.269516,18.107386,18.06473,19.506699,18.683718,18.34096,18.184326,18.158567
681,52199,601,-1.562796E-4,2.891948E-5,0,STAR,1237663278461813117,NONLEGACY,4145,301,6,67,381,23.741329,21.755232,20.273075,18.168552,17.061895,24.434723,21.783358,20.281395,18.219286,17.11949
682,52525,328,-5.632964E-5,3.639187E-5,0,STAR,1237663278461813721,NONLEGACY,4145,301,6,67,985,24.912029,23.415056,21.732895,19.639091,18.483414,25.669378,23.932981,21.710363,19.619345,18.558632
384,51821,416,-1.695002E-5,1.806339E-5,0,STAR,1237663462608470296,STAR_BROWN_DWARF,4188,301,5,66,280,24.742743,23.969662,22.094778,19.135441,17.327377,24.174799,24.021317,22.410095,19.274784,17.486694
682,52525,325,0.084483,2.616185E-5,0,GALAXY,1237663463145406691,NONLEGACY,4188,301,6,67,227,21.202845,19.332163,18.547195,18.10478,17.656553,20.345842,18.784435,17.803223,17.403515,17.090431
3142,54735,191,-7.874585E-4,3.478083E-5,0,STAR,1237663783657603214,NONLEGACY,4263,301,3,71,142,20.015545,19.02767,18.65169,18.474855,18.365564,20.087994,19.101212,18.703083,18.551811,18.450396
385,51877,23,1.92388,1.083543E-3,0,QSO,1237663783659045057,QSO,4263,301,3,93,193,19.500244,19.19599,19.070517,18.944866,18.896654,19.537167,19.254528,19.142529,19.00552,19.040432
1093,52591,604,0.063516,3.338577E-5,0,GALAXY,1237656909037764867,NONLEGACY,2662,301,6,257,259,21.319546,19.851507,19.018322,18.620968,18.368689,20.617504,18.826834,17.95845,17.583502,17.296272
683,52524,217,0.540594,1.38232E-4,0,GALAXY,1237663275778703545,NONLEGACY,4145,301,1,86,185,21.445623,20.668379,20.298101,19.947491,19.669933,21.228823,20.214653,19.677534,19.249071,18.971266
3142,54735,438,5.457393E-4,1.580686E-5,0,STAR,1237663277924876440,NONLEGACY,4145,301,5,66,152,19.689455,18.728712,18.283073,18.068644,17.984531,19.763374,18.781395,18.336006,18.134567,18.046286
681,52199,566,0.08616,2.173694E-5,0,GALAXY,1237663278461812888,NONLEGACY,4145,301,6,67,152,21.267828,19.492662,18.540033,18.009794,17.60232,19.261194,17.683838,16.804209,16.420406,16.2127
384,51821,457,0.085443,1.775147E-5,0,GALAXY,1237663278461813004,GALAXY,4145,301,6,67,268,20.518005,18.559858,17.592453,17.118732,16.67425,19.22934,17.492157,16.54986,16.128193,15.798686
3142,54735,202,-8.957193E-5,9.021466E-6,0,STAR,1237663783120797907,NONLEGACY,4263,301,2,72,211,20.17907,17.878269,16.912725,16.554375,16.310518,20.274685,17.96174,16.967009,16.610954,16.399847
1902,53271,118,4.422434E-5,8.197181E-6,0,STAR,1237663783659045033,NONLEGACY,4263,301,3,93,169,19.474432,17.410501,16.570387,16.32589,16.154509,19.567654,17.47682,16.651598,16.370712,16.232956
1902,53271,105,-5.215758E-5,8.398961E-6,0,STAR,1237663783659045052,NONLEGACY,4263,301,3,93,188,20.543179,17.926277,16.883841,16.465355,16.270693,20.614704,18.022326,16.945621,16.553127,16.341675
1092,52639,307,-3.03217E-5,1.973398E-5,0,STAR,1237663783659045060,NONLEGACY,4263,301,3,93,196,21.782646,19.77566,18.85602,18.502249,18.284693,21.83621,19.884367,18.934196,18.58527,18.371977
384,51821,466,0.058295,1.425587E-5,0,GALAXY,1237663784194474089,GALAXY,4263,301,4,71,105,20.487995,18.515469,17.625401,17.068546,16.614973,18.57007,16.80159,15.904796,15.407412,15.065401
1488,52965,272,-1.13694E-4,2.647875E-5,0,STAR,1237663784195981484,NONLEGACY,4263,301,4,94,172,22.658869,20.759771,19.335402,18.27701,17.714067,22.590363,20.836998,19.409634,18.356939,17.766455
