plate,mjd,fiberid,z,zErr,zWarning,class,bestObjID,objType,run,rerun,camCol,field,obj,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z,petroMag_u,petroMag_g,petroMag_r,petroMag_i,petroMag_z
1101,52621,557,-3.995821E-5,1.300292E-5,0,STAR,1237663479261692130,NONLEGACY,4192,301,4,222,226,21.462517,18.912228,17.479368,16.781893,16.373621,21.52116,18.983328,17.538025,16.837223,16.452013
1900,53262,271,-7.173349E-6,7.74375E-6,0,STAR,1237663543150379138,NONLEGACY,4207,301,3,238,130,16.576897,15.068719,14.509649,14.347991,14.212039,16.633875,15.124704,14.516939,14.422855,14.230538
1101,52621,599,-2.748862E-4,2.903962E-5,0,STAR,1237663479261692191,NONLEGACY,4192,301,4,222,287,23.172516,20.473763,18.997423,18.243729,17.812401,22.434408,20.56073,19.036465,18.308115,17.881845
675,52590,306,0.062955,6.289552E-6,0,GALAXY,1237663479261692263,NONLEGACY,4192,301,4,222,359,21.7784,20.760294,20.693123,20.525879,20.327604,20.887714,19.865784,19.445778,19.302572,19.144489
1101,52621,600,-4.217807E-5,3.656386E-5,0,STAR,1237663543150379330,NONLEGACY,4207,301,3,238,322,22.617823,20.168463,18.752832,18.066353,17.683689,22.488205,20.235521,18.806328,18.127922,17.751543
675,52590,319,1.409654,6.526271E-4,0,QSO,1237663543150379381,NONLEGACY,4207,301,3,238,373,20.663851,20.707579,20.029394,19.885925,19.69413,20.749914,20.807028,20.051031,19.93627,19.710587
1900,53262,396,4.625961E-5,8.937737E-6,0,STAR,1237663479261691944,NONLEGACY,4192,301,4,222,40,19.020544,17.506536,16.878508,16.676683,16.587189,19.050539,17.572054,16.965204,16.746864,16.652967
377,52145,595,0.089381,8.10283E-6,0,GALAXY,1237663479261692063,QSO,4192,301,4,222,159,20.210707,19.409422,19.149639,18.891701,18.796747,19.649845,18.625639,18.160933,17.815781,17.636574
377,52145,591,0.08735,1.207874E-5,0,GALAXY,1237663479261757650,GALAXY,4192,301,4,223,210,22.079699,20.273306,19.489626,18.972939,18.537458,20.601774,18.102411,17.177666,16.750364,16.462139
674,52201,77,0.312948,9.112719E-5,0,GALAXY,1237663479261757773,NONLEGACY,4192,301,4,223,333,23.490984,21.476196,19.929108,19.365202,18.89183,21.392042,20.634676,18.819597,18.204721,17.867502
1900,53262,313,5.15199E-5,8.544144E-6,0,STAR,1237663543150313826,NONLEGACY,4207,301,3,237,354,19.716661,17.727119,16.857737,16.556841,16.33569,19.768555,17.810734,16.926504,16.595224,16.39793
1101,52621,120,-8.58509E-5,1.026008E-5,0,STAR,1237663543150379079,NONLEGACY,4207,301,3,238,71,17.664272,16.664879,16.32555,16.171034,16.149319,17.715254,16.729382,16.379017,16.251118,16.232388
1901,53261,266,-1.193682E-3,2.057925E-5,0,STAR,1237663543150379288,NONLEGACY,4207,301,3,238,280,19.990606,18.888569,18.999592,19.146765,19.229425,20.030664,18.945082,19.084949,19.237688,19.421047
377,52145,599,0.059128,2.271902E-5,0,GALAXY,1237663543150444550,GALAXY,4207,301,3,239,6,21.118961,19.364365,18.714962,18.313995,17.840637,19.245293,17.984049,17.105787,16.700159,16.432051
1901,53261,319,-3.069233E-5,7.905614E-6,0,STAR,1237663479261626475,NONLEGACY,4192,301,4,221,107,17.840561,16.744383,16.304609,16.142595,16.088524,17.905146,16.779333,16.368679,16.211845,16.164547
377,52145,590,0.13272,3.143794E-5,0,GALAXY,1237663479261692036,GALAXY,4192,301,4,222,132,21.490091,19.636469,18.617792,18.247438,17.818022,20.003492,18.35722,17.264742,16.847273,16.630106
1101,52621,555,-1.939818E-4,5.271239E-5,0,STAR,1237663479261692640,NONLEGACY,4192,301,4,222,736,23.926558,21.400446,19.906458,19.065655,18.592127,23.959208,21.503065,19.994059,19.119656,18.625212
378,52146,319,0.10242,8.767427E-6,0,GALAXY,1237663479261757681,QSO,4192,301,4,223,241,22.021284,20.409933,19.955154,19.585733,19.245039,21.200785,19.654453,19.06819,18.647369,18.482445
377,52145,548,1.499825,3.019084E-4,0,QSO,1237663543150313508,QSO,4207,301,3,237,36,18.592432,18.385941,18.26013,18.065649,18.049843,18.663301,18.421597,18.296036,18.125298,18.121391
1900,53262,319,-1.303164E-4,9.283278E-6,0,STAR,1237663543150313658,NONLEGACY,4207,301,3,237,186,19.089682,17.567612,16.936693,16.754223,16.608213,19.168739,17.637648,17.009121,16.798632,16.713598
1037,52878,514,0.127384,5.986921E-6,0,GALAXY,1237663543150313776,NONLEGACY,4207,301,3,237,304,21.659389,20.527304,20.243942,19.943964,19.748766,21.150206,19.68553,19.108326,18.707176,18.539301
1037,52878,512,0.077864,6.974455E-6,0,GALAXY,1237663543150313802,NONLEGACY,4207,301,3,237,330,21.126106,20.172361,19.92885,19.643898,19.398403,20.497944,19.495134,18.921011,18.527655,18.365412
675,52590,320,0.203304,1.289306E-5,0,GALAXY,1237663543150313928,NONLEGACY,4207,301,3,237,456,22.278873,21.192274,20.56567,20.286877,19.946051,21.58638,20.880039,20.195358,19.762161,19.27343
1101,52621,116,-2.293234E-4,4.626574E-5,0,STAR,1237663543150314348,NONLEGACY,4207,301,3,237,876,23.11672,21.220068,19.883875,19.154795,18.687351,22.497715,21.337038,19.941442,19.202034,18.743586
1900,53262,269,-5.930938E-4,1.236237E-5,0,STAR,1237663543150379182,NONLEGACY,4207,301,3,238,174,18.54669,17.311478,16.738634,16.501982,16.372852,18.617376,17.379673,16.805296,16.567249,16.46192
377,52145,112,0.085405,7.436686E-6,0,GALAXY,1237663543150379222,GALAXY,4207,301,3,238,214,21.788942,20.155302,19.726404,19.02537,18.373856,19.481171,17.891235,17.158545,16.684389,16.482677
378,52146,311,0.057987,1.804871E-5,0,GALAXY,1237663543150379276,GALAXY,4207,301,3,238,268,20.592417,18.667143,17.997505,17.607252,17.184706,19.464001,17.612734,16.783081,16.402607,16.056986
1901,53261,261,2.13798E-4,1.392765E-5,0,STAR,1237663543150379339,NONLEGACY,4207,301,3,238,331,22.300764,20.291502,19.031797,18.52317,18.229496,22.147184,20.336071,19.049519,18.545452,18.253336
1900,53262,276,-7.49472E-4,1.482704E-5,0,STAR,1237663543150444549,NONLEGACY,4207,301,3,239,5,18.328188,17.398787,16.98723,16.85154,16.796133,18.383995,17.459362,17.060858,16.920443,16.879848
378,52146,316,0.059346,1.399779E-5,0,GALAXY,1237663543150444552,GALAXY,4207,301,3,239,8,21.41547,19.911207,19.573879,19.238853,18.713572,19.070574,17.36552,16.773371,16.500864,16.551208
378,52146,307,0.4384,1.38739E-4,0,GALAXY,1237663478724821995,GALAXY,4192,301,3,222,1003,23.546907,22.28656,20.731108,20.021914,19.467846,23.833971,20.727161,19.305698,18.634304,18.065922
377,52145,76,0.057814,1.609223E-5,0,GALAXY,1237663478724886586,GALAXY,4192,301,3,223,58,20.152243,18.023512,17.200354,16.790911,16.323257,17.353092,15.489381,14.576889,14.070207,13.833415
1101,52621,558,-6.631908E-6,1.054227E-5,0,STAR,1237663479261626533,NONLEGACY,4192,301,4,221,165,21.06292,18.558178,17.03303,16.313272,15.882121,21.063522,18.605146,17.104967,16.369425,15.943997
1037,52878,510,0.086095,6.000684E-6,0,GALAXY,1237663479261626536,NONLEGACY,4192,301,4,221,168,21.18206,20.230003,19.819933,19.331108,18.995481,19.580593,18.924356,18.142788,17.668259,17.624889
1901,53261,315,-3.62192E-4,4.408743E-5,0,STAR,1237663479261626540,NONLEGACY,4192,301,4,221,172,21.322231,19.940723,19.279814,19.018532,18.903545,21.326309,19.964577,19.338564,19.123371,18.887043
1101,52621,559,3.426804E-7,8.057097E-6,0,STAR,1237663479261626554,NONLEGACY,4192,301,4,221,186,19.305931,17.585798,16.886908,16.646271,16.507177,19.374477,17.639547,16.947432,16.701632,16.602581
1037,52878,517,0.216775,9.342358E-6,0,GALAXY,1237663479261626580,NONLEGACY,4192,301,4,221,212,21.028175,20.083418,19.527531,19.171259,18.897278,20.745363,19.681992,18.953976,18.502117,18.33149
1101,52621,597,-3.579594E-4,1.460252E-5,0,STAR,1237663479261692005,NONLEGACY,4192,301,4,222,101,18.841919,17.59873,17.116486,16.928293,16.856022,18.857983,17.637814,17.178017,17.004551,16.94055
1901,53261,314,-4.095024E-6,9.073582E-6,0,STAR,1237663479261692042,NONLEGACY,4192,301,4,222,138,21.07531,19.089617,18.146338,17.780607,17.546919,21.164396,19.136976,18.213305,17.83886,17.611019
1901,53261,394,-4.292505E-4,1.285317E-5,0,STAR,1237663479261692045,NONLEGACY,4192,301,4,222,141,19.371962,18.213699,18.173441,18.21546,18.251139,19.468063,18.261791,18.231726,18.259062,18.384962
